label,trajectory
HANDSHAKE,"726,331;725,327;727,325;730,327;732,334;734,345;734,354;733,359;729,357;729,354;731,350;733,349;735,351;736,355;733,357;726,351;721,346;718,342;717,340;716,343;716,352;714,362;711,369;708,369;704,364;700,356;699,349;701,346;704,348;706,354;706,349;708,342;710,339;712,346;713,356;712,366;710,370;711,366;713,362;715,359;720,361;724,366;727,373"
HANDSHAKE,"688,344;686,342;682,340;681,342;681,347;682,354;682,360;680,362;675,359;672,355;671,353;674,359;675,362;673,359;671,355;669,354;669,359;670,362;672,361;672,357;674,353;675,348;682,353;688,357;692,356;695,353;697,347;698,341;698,338;699,340;701,343;704,345"
NO_HANDSHAKE,"429,66;425,63;426,60;429,60;437,62;442,65;447,67;450,70;447,71;447,81;444,95;438,104;441,118;444,129;448,138;447,142;448,144;558,188;638,213;695,228;734,239;759,248;782,253;799,255;813,255;825,253;834,251;841,251;850,250;856,251;864,252;876,255;888,258;900,262;910,266;800,226;723,198;670,178;633,164;607,154;588,148;576,142;567,138;561,134;557,131;554,129;551,128;547,127;543,126;540,125;536,125;532,125;529,125"
NO_HANDSHAKE,"537,189;529,199;523,206;518,212;514,218;511,223;507,226;505,228;503,229;501,228;499,227;502,227;505,227;509,227;513,227;516,227;521,228;523,229;525,230;529,230;533,230;536,229;538,228;541,227;544,226;547,225;549,224;551,223;555,223;557,222;567,215;574,211;578,209;580,208;579,211;578,213;578,216;578,219;578,222;578,225;580,226;583,226;586,225;587,221;587,217;589,210;591,204;592,198;592,193;592,188;592,183;597,176;602,172;607,169;610,166;613,165;615,164;619,165;621,166;623,167;625,169;628,172;631,174;639,178;646,182;651,186;655,190;659,193;662,195;664,196;667,196;669,195;671,194;675,193;678,192;681,192;685,192;683,195;677,197;669,201;659,209;723,239"
NO_HANDSHAKE,"823,374;822,371;821,367;821,364;821,360;821,356;822,352;822,348;822,344;822,340;823,336;828,329;832,324;836,321;840,321;844,321;848,323;851,326;853,329;853,332;852,334;854,331;858,328;862,332;865,339;865,343;833,339;794,330;762,322;737,316;717,314;701,314;688,317;678,324;669,330;661,334;653,337;645,340;638,341;632,343;629,348;629,352;629,355;630,357;632,358;637,358;639,359;642,359;645,358;648,356;651,356;652,354;652,351;653,354;656,356;658,357;659,359"
NO_HANDSHAKE,"749,396;747,394;749,395;752,395;754,394;756,392;759,389;762,387;765,385;769,384;772,383;774,382;775,380;772,379;770,380;768,379;767,377;768,379;770,382;773,383;775,384;777,386;779,388;780,390;781,392;784,392;786,393;789,393"
HANDSHAKE,"797,345;800,339;802,332;803,323;806,313;808,305;806,309;804,312;803,315;803,311;803,307;802,304;800,307;799,312;798,316;798,319;800,321;803,318;804,314;806,311;804,313;803,318;803,322;805,325;809,322;812,318;815,313;814,318;814,321;815,323;819,314;823,306;824,303;823,305;821,310;820,317;820,324;820,330;820,334;822,335;823,332;825,327;828,321;831,315;832,312;828,320;824,326;822,329;820,326;822,321;824,316;826,312;826,317;824,321;821,324;820,322;822,319;823,315;824,312;825,307;826,304;826,308;825,313"
HANDSHAKE,"826,288;824,289;821,292;819,297;818,303;816,308;816,311;817,307;819,301;822,294;825,290;824,293;823,298;821,303;820,306;821,303;822,297;826,291;829,285;832,284;831,286;828,291;825,298;822,305;823,302;825,297;828,291;831,286;828,289;826,294;823,299;821,303;821,306;822,302;824,296;827,289;831,281;833,274;827,279;822,284;818,288;817,291;818,286;822,279;827,272"
HANDSHAKE,"818,260;818,256;820,250;818,248;815,248;812,249;809,248;805,247;802,244;801,241;800,238;798,235;797,233;796,231;800,230;804,228;810,223;816,220;822,217;828,214;834,213;840,213;846,213;852,212;858,211;863,210;867,210;870,210;873,210;870,211;865,212;859,214;853,216;848,218;843,219;840,220;837,220;835,219;833,218;828,219;824,219;821,219;817,219;815,217;814,214;814,211;815,207;815,204;814,202;812,201;805,200;802,200;799,200;798,202;800,203;802,204;804,205;804,202;804,199;805,197;806,195;808,194;810,191;811,189;813,186;811,187;813,188;817,187;815,186;812,186;805,186;794,186;782,186;772,187;764,188;760,188;765,186;772,185;781,184;791,180;803,174;815,169;826,166;834,163;840,159;844,155;847,153;849,152;851,154;852,151;852,148;854,146;855,144;857,142;860,141;864,139;867,138;871,137;873,136;876,135;879,133;881,132;884,131;886,129;887,127;890,127;893,127;897,128;901,128;904,129;907,129;910,130;913,130;914,128;914,125;912,124"
NO_HANDSHAKE,"964,166;963,164;960,163;958,162;955,162;952,162;950,161;947,160;944,160;943,163;944,165;946,167;948,169;950,171;952,173;954,174;957,176;959,178;961,180;962,182;964,184;965,186;966,188;967,190;968,192;969,194;970,196;972,197;976,199;979,201;981,203;982,205;981,207"
NO_HANDSHAKE,"969,205;971,206;973,207;975,208;978,209;980,210;982,212;985,214;988,216;990,218;993,220;995,222;996,224;998,225;1000,228;1003,230;1004,232;1005,234;1006,236;1007,238;1006,241;1004,242;1002,243;999,243;996,244;998,248;1001,251;1004,254;1006,255"
NO_HANDSHAKE,"446,428;443,440;440,451;437,455;438,445;439,433;465,423;483,416;511,445;529,472;541,496;551,504;566,498;577,488;585,482;568,506;551,525;544,537;564,561;564,532;569,505;575,491;578,495;581,506;584,514;579,518;576,522;574,521;574,516;577,512;577,516;585,550;585,565;586,574;578,568;575,558;575,548;576,541;574,547;572,554;570,561;569,569;567,576;566,583;565,590;554,591;506,576;473,567;451,564;437,562;427,562;422,562;422,550;423,541;423,535;424,527;426,518;426,509;426,500;425,491;421,477;413,461;408,446;404,433;400,421;396,411;393,403;390,395;388,386;386,376;385,364;382,351;377,336;420,379;450,409;471,430;486,444;496,453;503,459;509,462;513,464;516,464;519,463;521,457;533,475;541,488;547,497;552,503;556,507;559,508;563,508;565,506;566,503;566,500;566,497;566,494;567,492;568,490;568,485;565,479;560,449;558,428;558,413;558,404;558,398;558,394;561,393;559,388;555,383;550,378;545,373;541,367;537,360;534,352;531,344;528,336;525,327"
NO_HANDSHAKE,"594,454;620,472;653,470;679,453;698,426;710,399;718,390;724,393;729,402;743,389;756,365;763,337;778,342;800,332;813,330;825,369;761,398;731,392;716,390;725,417;739,417;757,405;789,394;792,389;785,370;778,357;784,363;787,379;800,406;813,421;811,418;821,391;817,397;814,402;803,433;768,425;769,429;775,416;782,389;780,424;815,332;842,271;848,232;827,253;820,272;818,282;818,319;837,347;853,365;871,377;890,385;910,382;932,369;992,326;1033,295;1052,274;1053,262;1077,251;992,326;928,374;883,400;853,411;837,414;828,409;825,397;825,384;826,371;863,345;884,330;892,327;891,333;884,344;874,357;862,373;811,385;771,395;767,418;762,436;718,456;679,472"
NO_HANDSHAKE,"655,538;657,537;652,535;647,534;643,533;639,532;636,530;633,528;630,526;631,522;633,519;636,516;639,514;641,512;644,509;647,507;650,506;652,504;654,503;656,502;658,501;658,498;660,497;663,498;666,498;668,496;669,494;668,496;666,497;663,498;661,500;659,502;658,504;661,505;663,504;666,503;664,504;660,505;656,505;655,503;652,506;649,509;646,511;643,513;640,515;637,516;633,516;631,517;629,518;628,520;629,522;631,520;634,520;636,519;638,518;640,517;638,518;632,519;627,510;622,501;617,493;614,488;613,485;615,487;618,490;621,494;623,498;624,500;622,505;619,506;616,507;615,509;618,509;621,507;623,503;623,497;621,491;620,487;622,489;625,493;626,498;628,502;629,505;628,503;627,500;625,498;625,495;623,498;624,503;625,506;626,508;627,510;627,505;627,502;627,499;632,500;634,502;637,494;636,489;641,495;644,501;647,506;649,509;647,511;644,509;640,505;638,500;638,496"
NO_HANDSHAKE,"683,498;683,495;682,492;677,491;674,489;670,484;667,477;665,468;663,460;661,453;659,451;658,453;659,459;661,466;664,475;668,481;671,485;674,486;675,483;674,478;672,472;670,466;668,460;667,454;667,449;669,445;671,443;674,444;678,448;681,455;683,463;683,471;682,478;679,484;673,487;667,488;662,487;660,477;660,469;658,459;657,452;655,447;651,442;647,440;643,439;638,440;634,443;631,448;630,454;630,460;632,465;636,469;640,472;644,473;646,472;645,468;642,462;639,456;636,449;633,443;630,438;629,435;632,434;635,436;637,439;640,443;642,446;644,449;645,452;647,455;649,457;646,455;645,452;644,449;643,444;643,440;643,437;645,440;647,442;649,444;653,443;653,439;653,435;653,432;653,429;654,426;655,424;657,423;659,422;664,424;666,425;669,426;670,428;673,428;672,425;670,423;668,421;667,419;665,418;666,420;667,423;669,426;673,436;676,444;677,450;678,452;678,447;677,444;675,441;674,438;673,435;670,437;669,439;669,442;669,445;669,449;669,453;669,457;669,460;671,455"
